fips,state,county,year,obesity_pct,inactivity_pct
NA,NA,NA,2023,36.6,28
NA,NA,NA,2023,35.2,31.9
NA,NA,NA,2023,36.5,29.5
NA,NA,NA,2023,39.80000000000001,30.5
NA,NA,NA,2023,42.5,34.7
NA,NA,NA,2023,42.1,37.30000000000001
NA,NA,NA,2023,36.9,30.4
NA,NA,NA,2023,41.7,32.4
NA,NA,NA,2023,33.9,27.7
NA,NA,NA,2023,40.4,36.4
NA,NA,NA,2023,37.1,28.7
NA,NA,NA,2023,47.9,38.1
NA,NA,NA,2023,36.2,29.7
NA,NA,NA,2023,41.4,33.5
NA,NA,NA,2023,36.1,30.9
NA,NA,NA,2023,41.7,29.8
NA,NA,NA,2023,36.7,29.7
NA,NA,NA,2023,36,27.4
NA,NA,NA,2023,35.9,31.2
NA,NA,NA,2023,47.1,37.7
NA,NA,NA,2023,38.6,27
NA,NA,NA,2023,37.4,32.7
NA,NA,NA,2023,39,34
NA,NA,NA,2023,36.30000000000001,29.2
NA,NA,NA,2023,40.5,34.30000000000001
NA,NA,NA,2023,40,30.6
NA,NA,NA,2023,36.80000000000001,33.2
NA,NA,NA,2023,43.4,30.6
NA,NA,NA,2023,37.9,30.7
NA,NA,NA,2023,35.80000000000001,26.7
NA,NA,NA,2023,38.1,30.1
NA,NA,NA,2023,39.7,34.5
NA,NA,NA,2023,38.30000000000001,33.5
NA,NA,NA,2023,30.2,21.1
NA,NA,NA,2023,24.3,17.9
NA,NA,NA,2023,29.5,17.8
NA,NA,NA,2023,30,18.6
NA,NA,NA,2023,30.5,20.7
NA,NA,NA,2023,29.7,19.4
NA,NA,NA,2023,34.4,26.4
NA,NA,NA,2023,28.1,18.8
NA,NA,NA,2023,32.9,24.1
NA,NA,NA,2023,28.2,16.9
NA,NA,NA,2023,34.6,27.6
NA,NA,NA,2023,33.6,25.7
NA,NA,NA,2023,31.1,20.5
NA,NA,NA,2023,36.2,31.7
NA,NA,NA,2023,29.7,19
NA,NA,NA,2023,35,28.1
NA,NA,NA,2023,35.1,27.6
NA,NA,NA,2023,32.1,23.4
NA,NA,NA,2023,31.8,22.5
NA,NA,NA,2023,28.8,21.6
NA,NA,NA,2023,35.9,27.2
NA,NA,NA,2023,23.3,14.1
NA,NA,NA,2023,31,19.3
NA,NA,NA,2023,31.4,21
NA,NA,NA,2023,38,28.9
NA,NA,NA,2023,32.4,22.1
NA,NA,NA,2023,29.6,18.5
NA,NA,NA,2023,31.7,24.9
NA,NA,NA,2023,26.9,18.8
NA,NA,NA,2023,28.2,16.2
